timestamp,temperature,sys_load_1,cpu_percent,fan_rpm,cpu_freq
2018-05-10 20:52:39.233294,34,0.01,0.013500000000000002,646.0,1620.8675
2018-05-10 20:53:39.237402,33,0.14,0.01,645.0,1628.678625
2018-05-10 20:54:39.241698,34,0.05,0.01,644.0,1655.890125
2018-05-10 20:55:39.245811,33,0.22,0.0149,637.0,1604.721125
2018-05-10 20:56:39.249914,33,0.15,0.01,641.0,1614.035
2018-05-10 20:57:39.254145,33,0.06,0.01,645.0,1614.8887499999998
2018-05-10 20:58:39.258371,33,0.02,0.0088,656.0,1607.5044999999998
2018-05-10 20:59:39.262538,34,0.11,0.01,650.0,1604.644625
2018-05-10 21:00:39.266740,33,0.08,0.0161,638.0,1610.6502500000001
2018-05-10 21:01:39.270914,34,0.07,0.01,645.0,1656.1141249999998
2018-05-10 21:02:39.275051,35,0.02,0.011200000000000002,649.0,1612.5535
2018-05-10 21:03:39.279368,33,0.06,0.011200000000000002,655.0,1821.5023750000003
2018-05-10 21:04:39.283419,34,0.16,0.0075,656.0,1630.146375
2018-05-10 21:05:39.287492,34,0.25,0.0088,652.0,1605.0352500000001
2018-05-10 21:06:39.291570,34,0.17,0.0125,644.0,1604.9755
2018-05-10 21:07:39.295815,34,0.06,0.011200000000000002,648.0,1605.0500000000002
2018-05-10 21:08:39.300055,32,0.02,0.0149,646.0,1633.0466250000002
2018-05-10 21:09:39.304158,33,0.01,0.01,655.0,1605.339125
2018-05-10 21:10:39.308367,34,0.05,0.01,650.0,1612.187625
2018-05-10 21:11:39.312627,34,0.09,0.0174,638.0,1607.5338749999999
2018-05-10 21:12:39.316783,34,0.14,0.0125,653.0,1659.81275
2018-05-10 21:13:39.321056,34,0.2,0.011200000000000002,664.0,1770.061
2018-05-10 21:14:39.325311,35,0.19,0.01,641.0,1605.068875
2018-05-10 21:15:39.329375,33,0.11,0.0125,646.0,1709.9965
2018-05-10 21:16:39.333340,33,0.04,0.0149,644.0,1604.996625
2018-05-10 21:17:39.337486,33,0.06,0.011200000000000002,641.0,1616.695
2018-05-10 21:18:39.341627,33,0.09,0.01,638.0,1620.014
2018-05-10 21:19:39.345717,32,0.1,0.0148,637.0,1752.6028749999998
2018-05-10 21:20:39.350005,32,0.12,0.0123,634.0,1604.7197499999997
2018-05-10 21:21:39.354121,34,0.09,0.0138,642.0,1605.2352500000002
2018-05-10 21:22:39.358345,33,0.1,0.009899999999999999,655.0,1605.600375
2018-05-10 21:23:39.362568,34,0.1,0.0124,658.0,1792.240875
2018-05-10 21:24:39.366769,35,0.32,0.0149,652.0,1605.076125
2018-05-10 21:25:39.371005,32,0.35000000000000003,0.011200000000000002,637.0,1604.62825
2018-05-10 21:26:39.375195,33,0.23,0.01,647.0,1647.2195
2018-05-10 21:27:39.379413,33,0.2,0.009899999999999999,641.0,1605.062125
2018-05-10 21:28:39.383577,34,0.07,0.0086,652.0,1636.1825000000001
2018-05-10 21:29:39.387791,34,0.13,0.0175,631.0,1798.08875
2018-05-10 21:30:39.391995,34,0.11,0.0149,636.0,1604.8505
2018-05-10 21:31:39.396258,33,0.11,0.0146,638.0,1617.208
2018-05-10 21:32:39.400558,32,0.04,0.0111,640.0,1604.6960000000004
2018-05-10 21:33:39.404907,33,0.01,0.015,638.0,1604.96775
2018-05-10 21:34:39.409231,32,0.27,0.0138,635.0,1614.9078749999999
2018-05-10 21:35:39.413430,34,0.14,0.011200000000000002,636.0,1619.1001249999997
2018-05-10 21:36:39.417649,32,0.09,0.0148,651.0,1619.6751249999998
2018-05-10 21:37:39.421841,32,0.03,0.0125,645.0,1817.3611250000001
2018-05-10 21:38:39.426069,33,0.01,0.011200000000000002,636.0,1605.7091249999999
2018-05-10 21:39:39.430224,32,0.21,0.0125,641.0,1616.0265
2018-05-10 21:40:39.434494,33,0.08,0.0124,634.0,1614.759
2018-05-10 21:41:39.438607,33,0.03,0.0111,630.0,1750.1585
2018-05-10 21:42:39.442838,32,0.01,0.011200000000000002,629.0,1605.0215
2018-05-10 21:43:39.447088,32,0.15,0.0088,636.0,1759.5604999999998
2018-05-10 21:44:39.451373,33,0.05,0.01,637.0,1608.4513749999999
2018-05-10 21:45:39.455479,32,0.21,0.0062,620.0,1605.43
2018-05-10 21:46:39.459870,33,0.35000000000000003,0.005,640.0,1733.8542500000003
2018-05-10 21:47:39.464196,32,0.31,0.0111,632.0,1625.790625
2018-05-10 21:48:39.468484,32,0.11,0.0136,630.0,1609.0993750000002
2018-05-10 21:49:39.472707,32,0.12,0.0075,634.0,1605.0737500000002
2018-05-10 21:50:39.476937,32,0.13,0.011200000000000002,630.0,1615.403625
2018-05-10 21:51:39.481207,33,0.32,0.0088,625.0,1611.9535
2018-05-10 21:52:39.485634,35,0.25,0.0075,619.0,1604.975875
2018-05-10 21:53:39.489813,32,0.19,0.016200000000000003,636.0,1605.0520000000001
2018-05-10 21:54:39.494090,33,0.2,0.0148,634.0,1604.6132499999999
2018-05-10 21:55:39.498441,32,0.13,0.0183,622.0,1610.6509999999998
2018-05-10 21:56:39.502691,32,0.05,0.009899999999999999,639.0,1605.083375
2018-05-10 21:57:39.507108,33,0.05,0.011200000000000002,637.0,1684.8715000000002
2018-05-10 21:58:39.511219,32,0.12,0.0125,637.0,1605.1456249999999
2018-05-10 21:59:39.515508,32,0.2,0.01,627.0,1665.2994999999999
2018-05-10 22:00:39.519614,33,0.07,0.0111,630.0,1604.866
2018-05-10 22:01:39.523975,33,0.11,0.01,631.0,1605.125125
2018-05-10 22:02:39.528298,32,0.64,0.011200000000000002,633.0,1604.95275
2018-05-10 22:03:39.532411,32,0.87,0.01,631.0,1605.884375
2018-05-10 22:04:39.536668,32,1.0,0.011200000000000002,626.0,1641.082875
2018-05-10 22:05:39.540942,32,1.12,0.01,638.0,1612.2091249999999
2018-05-10 22:06:39.545219,32,0.97,0.0136,634.0,1604.7618750000001
2018-05-10 22:07:39.549376,32,0.7000000000000001,0.0075,633.0,1605.1172500000002
2018-05-10 22:08:39.553590,33,0.44,0.015,625.0,1755.0717499999998
2018-05-10 22:09:39.557819,32,0.16,0.0088,623.0,1716.284625
2018-05-10 22:10:39.562057,32,0.09,0.01,630.0,1632.98825
2018-05-10 22:11:39.566222,33,0.23,0.0088,633.0,1665.98675
2018-05-10 22:12:39.570409,32,0.14,0.0075,633.0,1711.7984999999999
2018-05-10 22:13:39.574659,32,0.05,0.0075,629.0,1626.1084999999998
2018-05-10 22:14:39.578946,32,0.11,0.01,640.0,1605.0500000000002
2018-05-10 22:15:39.583245,32,0.09,0.011200000000000002,630.0,1751.6788749999998
2018-05-10 22:16:39.587375,33,0.21,0.0138,629.0,1606.6215000000002
2018-05-10 22:17:39.591562,32,0.29,0.01,643.0,1610.97375
2018-05-10 22:18:39.595803,33,0.17,0.011200000000000002,627.0,1609.269625
2018-05-10 22:19:39.600038,33,0.06,0.01,634.0,1605.0606249999996
2018-05-10 22:20:39.604137,47,0.1,0.2932,677.0,3768.987
2018-05-10 22:21:39.608106,37,0.96,0.0967,664.0,3381.4084999999995
2018-05-10 22:22:39.612160,33,0.7000000000000001,0.015,635.0,1634.6537500000002
2018-05-10 22:23:39.616419,34,0.36,0.0311,650.0,2010.3719999999998
2018-05-10 22:24:39.620580,36,0.37,0.0226,639.0,1830.8145000000002
2018-05-10 22:25:39.623779,44,1.75,0.19149999999999998,671.0,3464.8849999999998
2018-05-10 22:26:39.626821,48,2.14,0.1734,684.0,3596.2795
2018-05-10 22:27:39.630011,49,2.12,0.366,707.0,3454.8718749999994
2018-05-10 22:28:39.633294,49,2.98,0.29059999999999997,718.0,3712.6522499999996
2018-05-10 22:29:39.636448,49,2.67,0.3248,701.0,3585.161
2018-05-10 22:30:39.639695,52,2.13,0.1931,729.0,3780.8612500000004
2018-05-10 22:31:39.643093,50,1.6800000000000002,0.1821,742.0,3480.739375
2018-05-10 22:32:39.646119,49,1.81,0.1562,732.0,3504.654125
2018-05-10 22:33:39.649011,52,2.1,0.22260000000000002,745.0,3768.76125
2018-05-10 22:34:39.651870,49,1.81,0.1355,734.0,3703.3633750000004
2018-05-10 22:35:39.654818,51,1.75,0.1578,736.0,3567.5
2018-05-10 22:36:39.657898,53,2.08,0.1497,741.0,3735.62525
2018-05-10 22:37:39.660891,54,1.82,0.31679999999999997,735.0,3769.4996250000004
2018-05-10 22:38:39.666079,51,2.06,0.5344,765.0,3757.1547500000006
2018-05-10 22:39:39.669034,55,2.32,0.32789999999999997,763.0,3751.5811249999997
2018-05-10 22:40:39.671997,53,2.55,0.2614,774.0,3741.5520000000006
2018-05-10 22:41:39.674921,52,2.2,0.2743,774.0,3760.0008749999997
2018-05-10 22:42:39.677944,54,1.92,0.165,768.0,3594.8227500000003
2018-05-10 22:43:39.680907,53,1.3900000000000001,0.1399,776.0,3834.2936250000002
2018-05-10 22:44:39.683978,53,1.28,0.20550000000000002,757.0,3769.254875
2018-05-10 22:45:39.687001,50,1.17,0.1972,761.0,3824.8378749999997
2018-05-10 22:46:39.690461,52,1.62,0.1779,758.0,3745.4036250000004
2018-05-10 22:47:39.693607,52,2.22,0.1778,766.0,3811.9451249999997
2018-05-10 22:48:39.696525,52,2.24,0.31829999999999997,779.0,3792.5090000000005
2018-05-10 22:49:39.701780,53,1.65,0.184,762.0,3749.3713749999997
2018-05-10 22:50:39.704995,54,1.52,0.1918,774.0,3725.8258749999995
2018-05-10 22:51:39.707967,49,1.23,0.1425,730.0,3857.2967500000004
2018-05-10 22:52:39.711083,52,1.81,0.18760000000000002,765.0,3553.308375
2018-05-10 22:53:39.714170,54,1.96,0.1784,771.0,3743.593375
2018-05-10 22:54:39.717127,56,1.6400000000000001,0.1557,764.0,3782.393875
2018-05-10 22:55:39.720239,52,2.36,0.15960000000000002,768.0,3799.5645
2018-05-10 22:56:39.723296,57,2.52,0.3066,763.0,3715.648625
2018-05-10 22:57:39.726099,49,1.79,0.1588,741.0,3807.525125
2018-05-10 22:58:39.729149,51,1.8900000000000001,0.17809999999999998,744.0,3830.2861249999996
2018-05-10 22:59:39.732091,57,1.77,0.3594,762.0,3744.977125
2018-05-10 23:00:39.735265,53,1.74,0.18059999999999998,774.0,3814.5163749999997
2018-05-10 23:01:39.738426,55,1.73,0.2544,760.0,3768.3323749999995
2018-05-10 23:02:39.741307,54,1.82,0.1882,763.0,3771.495
2018-05-10 23:03:39.744294,53,2.3,0.24559999999999998,775.0,3803.968375
2018-05-10 23:04:39.747356,52,1.72,0.1631,750.0,3760.702875
2018-05-10 23:05:39.750377,54,1.4,0.1864,777.0,3773.5494999999996
2018-05-10 23:06:39.753371,54,2.34,0.2082,760.0,3779.226125
2018-05-10 23:07:39.756330,58,2.24,0.419,789.0,3730.78625
2018-05-10 23:08:39.759413,54,2.91,0.31379999999999997,767.0,3742.5763750000006
2018-05-10 23:09:39.762378,56,2.45,0.2024,778.0,3807.979375
2018-05-10 23:10:39.765491,56,3.3,0.22899999999999998,776.0,3758.698
2018-05-10 23:11:39.768684,57,2.22,0.2285,782.0,3758.6685
2018-05-10 23:12:39.771554,56,2.09,0.209,774.0,3784.1231250000005
2018-05-10 23:13:39.774576,55,2.31,0.2144,767.0,3714.544375
2018-05-10 23:14:39.777590,52,2.05,0.2072,767.0,3778.694125
2018-05-10 23:15:39.781118,55,1.52,0.24530000000000002,780.0,3794.3807500000003
2018-05-10 23:16:39.784206,56,2.51,0.2648,765.0,3784.287625
2018-05-10 23:17:39.787258,57,2.5,0.2332,797.0,3637.251875
2018-05-10 23:18:39.791506,55,2.08,0.1865,780.0,3790.4154999999996
2018-05-10 23:19:39.794620,55,1.9300000000000002,0.2237,786.0,3769.946
2018-05-10 23:20:39.797654,55,1.43,0.1449,783.0,3846.40375
2018-05-10 23:21:39.800494,54,2.05,0.1789,776.0,3790.641875
2018-05-10 23:22:39.803430,54,1.72,0.2208,767.0,3772.62225
2018-05-10 23:23:39.806356,54,1.8399999999999999,0.2094,773.0,3590.8745
2018-05-10 23:24:39.810125,57,1.9,0.3146,775.0,3786.698125
2018-05-10 23:25:39.812965,57,1.8,0.2761,776.0,3756.237375
